"Player","My C Won","Hands","Fold to Any PFR","Fold to F CBet","Att To Steal","PFR","VPIP","WTSD %","WSD","WSD (ns)","Total AF","Total AFq"
"Keramzit","-€5.70","63","92.11","-","100.00","14.52","14.52","25.00","0.00","0.00","","40.00"
"pant100000","€1.13","64","55.56","75.00","100.00","18.75","37.50","29.17","71.43","75.00","1.80","29.03"
"ReluctLier","€2.85","144","81.82","25.00","85.71","36.88","44.68","27.50","81.82","87.50","1.25","37.04"
"srac1","-€0.90","63","63.33","20.00","85.71","19.05","36.51","26.92","28.57","33.33","2.63","53.85"
"ShullerMax","-€0.13","73","88.89","100.00","83.33","21.92","30.14","16.67","0.00","-","","36.36"
"dame26run","€1.16","94","92.50","-","80.95","27.17","28.26","23.08","33.33","50.00","7.00","53.85"
"MeloWin","€1.88","111","68.00","0.00","80.00","27.93","37.84","30.00","58.33","70.00","3.75","55.56"
"DiegoKar","-€2.46","62","50.00","66.67","76.92","38.33","50.82","27.59","37.50","42.86","7.25","69.05"
"jhantoro","-€0.21","122","73.08","75.00","75.00","31.97","46.72","11.32","83.33","100.00","2.63","30.43"
"LOUNApak","-€0.11","64","77.78","50.00","75.00","14.06","35.94","14.29","66.67","66.67","2.29","44.44"
"DragonInkviz","-€0.02","91","81.25","100.00","75.00","8.79","18.68","16.67","66.67","50.00","10.00","43.48"
"beijingtree","€0.66","79","73.53","50.00","75.00","16.46","31.65","24.00","50.00","50.00","1.90","42.22"
"platosha666","€2.89","78","84.00","50.00","75.00","23.08","33.33","32.00","62.50","100.00","5.80","67.44"
"123mike81","-€2.13","63","46.43","0.00","66.67","16.13","61.90","31.58","25.00","28.57","2.92","60.32"
"msbahuta","€0.32","61","87.50","-","66.67","13.11","18.03","30.77","75.00","100.00","","33.33"
"jikou","€2.60","107","92.86","-","66.67","13.21","13.08","46.15","66.67","100.00","6.00","54.55"
"ivan_0708","€1.73","105","61.36","57.14","66.67","11.43","40.00","25.71","66.67","100.00","1.46","38.78"
"ImWat","-€0.75","118","68.18","75.00","66.67","13.68","25.64","32.00","75.00","83.33","1.53","50.00"
"alex_133","-€0.31","78","100.00","-","66.67","12.82","15.38","11.11","100.00","-","7.00","58.33"
"PiotrussPan","-€1.81","159","37.10","70.59","64.29","39.49","53.50","38.96","40.00","45.83","1.17","41.18"
"davebritz2","€1.47","131","90.00","0.00","64.29","13.18","13.95","14.29","100.00","100.00","2.00","33.33"
"gavrilog","-€0.76","61","85.71","-","64.29","25.86","27.59","37.50","33.33","33.33","8.00","80.00"
"ZaRukavom","€0.47","114","90.91","-","62.50","11.40","14.04","47.06","50.00","60.00","11.00","57.89"
"pipecmolodec","€1.41","106","78.05","50.00","62.07","30.77","32.69","28.57","66.67","66.67","3.00","48.39"
"Old_Slag","€5.36","175","48.84","40.00","60.87","27.43","64.00","36.63","54.05","51.85","2.35","58.38"
"tatitatatu","€0.87","122","90.38","0.00","60.87","21.49","23.14","15.79","66.67","66.67","1.67","38.46"
"Igrysis","-€1.39","125","78.57","100.00","59.46","27.27","31.41","27.27","66.67","66.67","1.70","45.95"
"donald131","-€0.25","72","64.29","66.67","58.33","19.72","29.58","36.84","71.43","66.67","1.44","48.15"
"Hardty69","€4.83","75","47.06","50.00","57.14","36.99","54.05","35.48","81.82","77.78","1.30","35.14"
"888xuesir","-€8.99","65","57.69","50.00","57.14","33.85","50.77","28.13","22.22","12.50","2.47","58.73"
"Fireworks89","-€0.28","64","78.57","100.00","57.14","17.19","29.69","13.33","0.00","0.00","2.33","53.85"
"ruimeira","€0.92","76","68.57","66.67","57.14","16.00","38.67","9.52","50.00","50.00","9.00","58.06"
"buasja","-€6.57","545","86.31","55.56","56.82","11.34","17.47","23.75","47.37","27.27","3.19","46.36"
